id,diversity,citations,year,region,is_Biotech
EP19790300134,0.0377,2,1979,UKJ11,0
EP19790300251,0.015,3,1979,UKJ11,0
EP19790302618,0.0006,2,1979,UKL16,0
EP19790302617,0.0006,3,1979,UKL16,0
EP19800301541,0.0006,3,1980,UKL16,0
EP19780300148,0.0272,3,1978,UKI23,0
EP19790300096,0.0213,1,1979,UKI23,0
EP19790300612,0.0038,4,1979,UKJ13,0
EP19780300099,0.0043,1,1978,UKI23,0
EP19810200867,0.0016,1,1979,UKJ23,0
EP19790300686,0.0026,3,1979,UKJ23,0
EP19850115575,0.0128,1,1979,UKH23,0
EP19820109116,0.0128,1,1979,UKH23,0
EP19790302978,0.0128,23,1979,UKH23,0
EP19780300522,0.0278,2,1978,UKJ23,0
EP19790302826,0.0026,2,1979,UKJ14,0
EP19790302825,0.037,3,1979,UKJ14,0
EP19790302823,0.0364,1,1979,UKJ11,0
EP19790302401,0.0009,1,1979,UKM24,0
EP19790300204,0.0002,1,1979,GBZZZ,0
EP19780300203,0.0302,5,1978,UKJ11,0
EP19790301145,0.0359,1,1979,UKH33,0
EP19780100823,0.0666,6,1978,UKJ42,0
EP19790301142,0.0523,1,1979,UKH33,0
EP19780200259,0.0173,3,1978,UKC22,0
EP19790301557,0.0302,1,1979,UKJ23,0
EP19780300473,0.0217,2,1978,UKI23,0
EP19790301619,0.0249,1,1979,UKJ23,0
EP19790300218,0.025,4,1979,UKJ23,0
EP19790300040,0.0008,2,1979,GBZZZ,0
EP19790301675,0.0086,6,1979,UKH23,0
EP19780300314,0.0072,14,1978,UKH23,0
EP19780300328,0.0187,2,1978,UKJ23,0
EP19780300074,0.0343,3,1978,UKJ11,0
EP19790301963,0.0029,1,1979,UKJ23,0
EP19790300322,0.0015,2,1979,UKJ23,0
EP19780300646,0.0272,1,1978,UKJ11,0
EP19790300092,0.0496,7,1979,GBZZZ,0
EP19780101346,0.0069,2,1978,UKD31,0
EP19790200096,0.0021,1,1979,UKJ42,0
EP19780200365,0.0032,2,1978,UKJ42,0
