id,diversity,citations,year,region,is_Biotech
EP19800103907,0.0302,0,1978,UKJ11,0
EP19790300134,0.0377,2,1979,UKJ11,0
EP19800201077,0.0302,0,1978,UKJ11,0
EP19790300251,0.015,3,1979,UKJ11,0
EP19790302618,0.0006,2,1979,UKL16,0
EP19790302617,0.0006,3,1979,UKL16,0
EP19800301541,0.0006,3,1980,UKL16,0
EP19790302384,0.0215,0,1979,UKJ23,0
EP19780300148,0.0272,3,1978,UKI23,0
EP19790300096,0.0213,1,1979,UKI23,0
EP19790302487,0.0005,0,1979,UKJ13,0
EP19790300612,0.0038,4,1979,UKJ13,0
EP19790302895,0.0044,0,1979,UKG31,0
EP19780300099,0.0043,1,1978,UKI23,0
EP19810200867,0.0016,1,1979,UKJ23,0
EP19790300686,0.0026,3,1979,UKJ23,0
EP19850115575,0.0128,1,1979,UKH23,0
EP19820109116,0.0128,1,1979,UKH23,0
EP19790302978,0.0128,23,1979,UKH23,0
EP19810104385,0.0059,0,1979,GBZZZ,0
EP19780300522,0.0278,2,1978,UKJ23,0
EP19790302826,0.0026,2,1979,UKJ14,0
EP19790302825,0.037,3,1979,UKJ14,0
EP19790302823,0.0364,1,1979,UKJ11,0
EP19790302401,0.0009,1,1979,UKM24,0
EP19790300204,0.0002,1,1979,GBZZZ,0
EP19790302493,0.0024,0,1979,UKD63,0
EP19780300203,0.0302,5,1978,UKJ11,0
EP19790301145,0.0359,1,1979,UKH33,0
EP19780100823,0.0666,6,1978,UKJ42,0
EP19790301144,0.0336,0,1979,UKH23,0
EP19790300237,0.02,0,1979,UKI23,0
EP19790301142,0.0523,1,1979,UKH33,0
EP19790301143,0.0336,0,1979,UKH23,0
EP19790200295,0.0232,0,1979,UKC21,0
EP19780200259,0.0173,3,1978,UKC22,0
EP19790300234,0.0102,0,1979,UKJ11,0
EP19790301557,0.0302,1,1979,UKJ23,0
EP19780300473,0.0217,2,1978,UKI23,0
EP19790301619,0.0249,1,1979,UKJ23,0
EP19790300218,0.025,4,1979,UKJ23,0
EP19790103733,0.002,0,1979,UKI23,0
EP19790300040,0.0008,2,1979,GBZZZ,0
EP19790301675,0.0086,6,1979,UKH23,0
EP19780300314,0.0072,14,1978,UKH23,0
EP19790301684,0.0021,0,1979,UKJ23,0
EP19780300328,0.0187,2,1978,UKJ23,0
EP19790301332,0.0283,0,1979,UKJ13,0
EP19780300074,0.0343,3,1978,UKJ11,0
EP19790301963,0.0029,1,1979,UKJ23,0
EP19790300322,0.0015,2,1979,UKJ23,0
EP19790301243,0.0264,0,1979,UKJ11,0
EP19780300646,0.0272,1,1978,UKJ11,0
EP19790302212,0.0398,0,1979,GBZZZ,0
EP19790300092,0.0496,7,1979,GBZZZ,0
EP19790301944,0.0273,0,1979,UKI23,0
EP19790810110,0.001,0,1979,UKD31,0
EP19780101346,0.0069,2,1978,UKD31,0
EP19800201030,0.0025,0,1980,UKJ42,0
EP19790200096,0.0021,1,1979,UKJ42,0
EP19780200365,0.0032,2,1978,UKJ42,0
EP19800303860,0.0182,0,1980,UKJ23,0
EP19780300566,0.0173,4,1978,UKJ24,0
EP19800304317,0.005,0,1980,UKJ13,0
EP19780300419,0.001,3,1978,UKJ11,0
EP19800303989,0.0089,0,1980,UKH23,0
EP19790301333,0.0033,3,1979,UKH23,0
EP19790300772,0.0034,1,1979,UKH23,0
EP19800304313,0.0022,2,1980,UKJ14,0
EP19780300408,0.0022,1,1978,UKJ14,0
EP19800304065,0.0054,0,1980,GBZZZ,0
EP19800300086,0.0049,1,1980,UKJ23,1
EP19800304193,0.0434,2,1980,UKJ23,0
EP19790302053,0.0346,2,1979,UKJ23,0
EP19800303728,0.0033,0,1980,GBZZZ,0
EP19790300762,0.0025,1,1979,UKH33,0
EP19800300003,0.0016,4,1980,UKJ14,0
EP19800201015,0.0371,5,1980,GBZZZ,0
EP19800303730,0.0014,0,1980,UKJ13,0
EP19800300617,0.0053,7,1980,UKH23,0
EP19780300869,0.084,4,1978,UKH23,0
EP19800303557,0.0027,0,1980,UKJ11,0
EP19790300673,0.027,2,1979,UKM24,0
EP19800304318,0.0096,1,1980,UKJ11,0
EP19800303805,0.0011,0,1980,UKG31,0
EP19780300404,0.0003,1,1978,UKG31,0
EP19800303610,0.0003,0,1980,UKJ23,0
EP19790302564,0.0011,2,1979,UKJ23,0
EP19800303797,0.0317,3,1980,UKJ23,1
EP19790301773,0.0297,10,1979,UKJ23,1
EP19830102429,0.0079,0,1980,UKI22,0
EP19800103031,0.0079,4,1980,UKJ42,0
EP19800103032,0.0156,12,1980,UKJ42,0
EP19800303666,0.0272,2,1980,UKJ23,0
EP19790301197,0.0108,10,1979,UKJ23,0
EP19820110484,0.0009,1,1980,GBZZZ,0
EP19810300150,0.0009,1,1981,UKH23,0
EP19800302608,0.0009,1,1980,GBZZZ,0
EP19830102570,0.0014,0,1980,UKK43,0
EP19800304650,0.0014,3,1980,UKK43,0
EP19800304678,0.0027,0,1980,UKH23,0
EP19800300100,0.0053,2,1980,GBZZZ,0
EP19800300099,0.0032,2,1980,GBZZZ,0
EP19800304677,0.0024,0,1980,UKE41,0
EP19800304651,0.0014,2,1980,UKK43,0
EP19830105649,0.0045,0,1980,UKG11,0
EP19800200611,0.0045,7,1980,UKG11,0
EP19810108896,0.0014,0,1980,UKJ23,0
EP19800301847,0.0014,1,1980,UKJ23,0
EP19820200010,0.0012,0,1980,UKG39,0
EP19800300791,0.0012,3,1980,UKG39,0
EP19800304467,0.0114,10,1980,UKH23,0
EP19800304180,0.0168,0,1980,UKC11,0
EP19790302885,0.0158,1,1979,UKC11,0
EP19800201141,0.0166,0,1980,UKJ42,0
EP19790200713,0.0025,1,1979,UKJ42,0
EP19790200518,0.0025,1,1979,UKJ42,0
EP19800304259,0.0012,0,1980,UKJ11,0
EP19790301965,0.0296,1,1979,UKD62,0
EP19800304092,0.0209,0,1980,GBZZZ,0
EP19790301488,0.0062,1,1979,UKF22,0
EP19800303552,0.0187,0,1980,UKJ23,0
EP19800301501,0.0338,0,1980,UKH33,0
EP19800301610,0.0001,0,1980,UKH33,0
EP19790301189,0.0001,1,1979,UKJ24,0
EP19800102536,0.052,0,1980,UKJ42,0
EP19790300084,0.0027,1,1979,UKH23,0
EP19800303611,0.0037,0,1980,UKG24,0
EP19800303166,0.0012,1,1980,UKG24,0
EP19800301542,0.0006,1,1980,UKL16,0
EP19800301513,0.0025,0,1980,UKJ23,0
EP19790300067,0.0027,2,1979,UKJ13,0
EP19800301196,0.0055,0,1980,UKG12,0
EP19790200398,0.0096,3,1979,UKI11,0
EP19800301589,0.0086,4,1980,GBZZZ,0
EP19780300622,0.008,6,1978,UKD63,0
EP19800200730,0.008,5,1978,GBZZZ,0
EP19790302294,0.003,1,1979,UKJ23,0
EP19800301941,0.0007,0,1980,GBZZZ,0
EP19780300382,0.0018,1,1978,UKG31,0
EP19800200590,0.0066,0,1980,UKJ42,0
EP19800302153,0.0174,0,1980,UKJ23,0
EP19790301284,0.0317,1,1979,UKJ23,0
EP19800302011,0.0334,0,1980,UKJ24,0
EP19790302445,0.0118,2,1979,UKI23,0
EP19800301745,0.0102,0,1980,UKJ11,0
EP19800301726,0.0076,0,1980,UKH23,0
EP19780300755,0.0061,1,1978,UKH23,0
EP19800301693,0.0006,0,1980,UKM50,0
EP19800300069,0.0013,1,1980,UKM50,0
EP19800301846,0.0004,1,1980,UKJ23,0
EP19800301297,0.0018,0,1980,UKE42,0
EP19790302144,0.0023,1,1979,UKE42,0
EP19800300471,0.0004,0,1980,UKJ23,0
EP19790300449,0.0001,1,1979,GBZZZ,0
EP19800300421,0.0039,3,1980,UKJ23,0
EP19800300056,0.0016,2,1980,GBZZZ,0
EP19800300253,0.0017,0,1980,UKD74,0
EP19790300032,0.001,1,1979,UKJ11,0
EP19800300521,0.0632,1,1980,UKJ13,0
EP19790100289,0.0895,4,1979,UKI22,0
EP19790300256,0.065,6,1979,UKJ42,0
EP19800100869,0.0497,0,1980,UKI22,0
EP19800300558,0.0002,0,1980,UKJ42,0
EP19790300298,0.0002,1,1979,UKJ11,0
EP19800300254,0.0079,2,1980,UKD31,0
EP19790301636,0.0072,1,1979,UKJ13,0
EP19800300165,0.0145,0,1980,UKH23,0
EP19780101491,0.017,2,1978,UKJ42,0
EP19800300478,0.0329,3,1980,UKH23,0
EP19780101294,0.0895,2,1978,UKI22,0
EP19800300949,0.021,0,1980,UKJ23,0
EP19800300927,0.0057,0,1980,UKJ23,0
EP19790301695,0.0092,1,1979,UKJ23,0
EP19800300119,0.071,5,1980,GBZZZ,0
EP19780101490,0.0157,2,1978,UKJ42,0
EP19800302012,0.0282,0,1980,UKH33,0
EP19800303569,0.006,3,1980,UKD43,0
EP19790301174,0.0045,2,1979,UKD32,0
EP19800303663,0.0029,0,1980,UKD31,0
EP19790302284,0.0021,1,1979,GBZZZ,0
EP19800303754,0.0665,0,1980,UKH23,0
EP19780300488,0.0143,2,1978,UKH23,0
EP19800302657,0.0039,0,1980,UKI22,0
EP19790301618,0.0215,2,1979,UKJ23,0
EP19800302728,0.003,1,1980,GBZZZ,0
EP19790300846,0.0019,1,1979,UKE31,0
EP19800303030,0.0032,1,1980,UKH33,0
EP19780300151,0.0003,2,1978,UKH33,0
EP19800303052,0.0236,1,1980,UKC11,0
EP19790302333,0.0226,3,1979,UKI23,0
EP19800303031,0.0007,0,1980,UKE42,0
EP19790300988,0.001,2,1979,UKE42,0
EP19800105637,0.0186,0,1980,UKH23,0
EP19780101826,0.0317,1,1978,UKH23,1
EP19800303153,0.0228,0,1980,UKJ23,0
EP19800300188,0.0371,1,1980,UKI23,0
EP19790302080,0.016,1,1979,UKD31,0
EP19800302997,0.0364,4,1980,UKJ23,0
EP19790300731,0.0263,2,1979,UKJ23,0
EP19800302211,0.0196,0,1980,UKJ11,0
EP19790300098,0.0037,5,1979,UKJ11,0
EP19800302385,0.0009,0,1980,UKF22,0
EP19790301883,0.0009,1,1979,UKJ24,0
EP19800302252,0.0056,1,1980,UKD31,0
EP19800302210,0.0117,1,1980,UKJ11,0
EP19780300313,0.0023,1,1978,UKH12,0
EP19800302659,0.0012,2,1980,UKJ23,0
EP19790301646,0.0322,3,1979,UKJ23,0
EP19800302864,0.0611,0,1980,UKH23,0
EP19790300598,0.0604,4,1979,UKH23,0
EP19790302509,0.0052,3,1979,UKH23,0
EP19790301608,0.0179,1,1979,UKE11,0
EP19790301389,0.0012,1,1979,UKJ23,0
EP19790300712,0.0249,1,1979,UKJ23,0
EP19800302902,0.0372,2,1980,UKH33,1
EP19790302667,0.0046,3,1979,UKH33,0
EP19780300873,0.0259,2,1978,UKJ24,0
EP19800302963,0.003,2,1980,GBZZZ,0
EP19790302991,0.0021,1,1979,GBZZZ,0
EP19800302206,0.0275,0,1980,UKH23,0
EP19790300711,0.0012,1,1979,UKJ23,0
EP19810304345,0.0011,0,1981,UKH33,0
EP19810304344,0.0008,2,1981,UKH33,0
EP19810304868,0.0094,0,1981,UKH23,0
EP19790301276,0.0005,3,1979,UKE22,0
EP19810304834,0.0053,0,1981,UKJ23,0
EP19800304204,0.0019,3,1980,UKJ23,0
EP19810304829,0.0041,0,1981,UKG31,0
EP19800300708,0.0049,4,1980,UKG31,0
EP19800300729,0.0007,2,1980,UKH33,0
EP19810304973,0.0004,0,1981,UKD32,0
EP19790300834,0.0004,1,1979,UKD32,0
EP19810305204,0.016,0,1981,UKJ24,0
EP19790301671,0.0154,1,1979,UKJ24,0
EP19810305490,0.1566,0,1981,UKD62,0
EP19810303270,0.0082,1,1981,UKD31,0
EP19810305447,0.0019,0,1981,UKD63,0
EP19800300383,0.0028,1,1980,UKD63,0
EP19810305636,0.0008,0,1981,UKK22,0
EP19800303544,0.0008,1,1980,UKK22,0
EP19810305647,0.0017,0,1981,UKI12,0
EP19790300266,0.0015,1,1979,UKI12,0
EP19810305042,0.0012,2,1981,UKI23,0
EP19790301395,0.002,2,1979,UKI23,0
EP19810305266,0.0192,2,1981,UKC22,0
EP19780200049,0.0289,4,1978,UKC22,0
EP19790200471,0.0318,1,1979,GBZZZ,0
EP19810305267,0.0218,7,1981,GBZZZ,0
EP19790200303,0.0277,3,1979,UKC21,0
EP19810304700,0.0041,0,1981,UKK13,0
EP19800300325,0.0026,1,1980,UKK13,0
EP19810304835,0.0258,13,1981,UKJ11,0
EP19800300202,0.0191,3,1980,UKJ11,0
EP19800302237,0.0344,3,1980,UKJ42,0
EP19810304993,0.0004,0,1981,UKE32,0
EP19780300375,0.0004,1,1978,UKE32,0
EP19810305186,0.0086,0,1981,UKC11,0
EP19800300431,0.002,4,1980,UKD63,1
EP19810305388,0.0034,0,1981,UKD32,0
EP19790300301,0.0062,3,1979,UKJ33,0
EP19810305422,0.0009,0,1981,UKI23,0
EP19810107493,0.0006,1,1981,UKI23,0
EP19810109723,0.0009,0,1981,UKJ23,0
EP19780300187,0.0059,1,1978,UKH14,0
EP19810304540,0.0526,13,1981,UKH23,0
EP19790300190,0.0857,9,1979,UKH23,0
EP19810305651,0.0012,0,1981,UKD61,0
EP19810304854,0.0004,1,1981,UKH23,0
EP19810304439,0.002,3,1981,UKI23,0
EP19780300276,0.004,4,1978,UKI23,0
EP19810304621,0.0027,1,1981,UKK13,0
EP19810303289,0.0027,1,1981,UKK13,0
EP19810304639,0.0257,0,1981,UKH33,0
EP19800304709,0.0257,1,1980,UKH33,0
EP19810304414,0.0013,0,1981,UKM34,0
EP19790302702,0.0008,1,1979,UKM34,0
EP19810304402,0.0009,0,1981,UKK12,0
EP19780300380,0.0009,1,1978,UKK12,0
EP19810304131,0.0025,0,1981,UKJ33,0
EP19810301156,0.007,3,1981,UKJ33,0
EP19810303327,0.0019,0,1981,UKG12,0
EP19810300053,0.0042,4,1981,UKG12,0
EP19810303929,0.0537,0,1981,UKH23,0
EP19800303753,0.0047,4,1980,UKH23,0
EP19810304086,0.0241,1,1981,UKJ24,0
EP19790302254,0.0318,2,1979,GBZZZ,0
EP19810304705,0.0378,7,1981,UKJ23,0
EP19800304334,0.0058,5,1980,UKJ23,0
EP19810301022,0.0261,2,1981,UKJ23,0
EP19810304746,0.0018,1,1981,UKF13,0
EP19800301136,0.0016,1,1980,UKG31,0
EP19810304930,0.1304,0,1981,UKJ42,0
EP19810304626,0.0018,0,1981,UKJ42,0
EP19800304044,0.0021,1,1980,UKJ42,0
EP19810300335,0.0019,0,1981,UKG31,0
EP19780300130,0.0016,1,1978,UKJ23,0
EP19810304711,0.0073,1,1981,UKG12,0
EP19800303892,0.0007,1,1980,UKG12,0
EP19810304850,0.0008,0,1981,UKJ23,0
EP19800302631,0.0392,3,1980,UKI11,0
EP19810201161,0.0023,0,1981,UKH23,0
EP19810304840,0.0022,1,1981,UKF22,0
EP19810304777,0.0003,1,1981,UKK22,0
EP19810301804,0.0003,1,1981,UKK22,0
EP19830111845,0.0006,0,1981,UKD43,0
EP19810300411,0.0004,4,1981,UKD43,0
EP19810306153,0.0045,0,1981,UKJ13,0
EP19780300562,0.0033,2,1978,UKJ13,0
EP19810306010,0.0063,0,1981,UKG12,0
EP19790300158,0.0018,1,1979,UKJ14,0
EP19810305878,0.0016,0,1981,UKI11,0
EP19790300950,0.0159,1,1979,UKI11,0
EP19820900118,0.0089,0,1981,UKD62,0
EP19850104574,0.0013,1,1981,UKD62,0
EP19820306144,0.0073,2,1982,UKD62,0
EP19850113969,0.0128,0,1981,UKH23,0
EP19810302961,0.0034,0,1981,UKJ13,0
EP19810304175,0.0109,0,1981,UKJ13,0
EP19800303328,0.0186,4,1980,UKJ13,1
EP19810301527,0.004,0,1981,UKJ32,0
EP19800302192,0.0151,2,1980,UKJ32,0
EP19810305851,0.0014,0,1981,UKD62,0
EP19810300034,0.0012,1,1981,UKG11,0
EP19810305154,0.0008,0,1981,UKC14,0
EP19810301584,0.0009,1,1981,UKL13,0
EP19810306072,0.0008,0,1981,UKH23,0
EP19790101907,0.0103,1,1979,UKJ33,0
EP19810201386,0.0068,0,1981,UKF22,0
EP19800303101,0.053,2,1980,UKH23,0
EP19810109799,0.0029,0,1981,UKJ11,0
EP19790200708,0.0004,1,1979,UKJ13,0
EP19810305389,0.0009,1,1981,UKI23,0
EP19810300387,0.0002,2,1981,UKH23,0
EP19810305489,0.0517,3,1981,UKM24,0
EP19800300169,0.0449,2,1980,UKM24,0
EP19810305700,0.0002,0,1981,UKG31,0
EP19800303800,0.0002,1,1980,UKG32,0
EP19810305732,0.0065,0,1981,UKI23,0
EP19810301840,0.0289,4,1981,UKI23,0
EP19810305733,0.0399,0,1981,UKD63,0
EP19790300436,0.0264,1,1979,UKC12,0
EP19810305780,0.0081,3,1981,UKJ23,0
EP19790301318,0.0062,2,1979,UKJ23,0
EP19810305879,0.0001,0,1981,UKF22,0
EP19810300797,0.0005,1,1981,UKF22,0
EP19810305713,0.0205,0,1981,UKE12,0
EP19790302328,0.0206,1,1979,UKI11,0
EP19810305597,0.0035,0,1981,UKD32,0
EP19810305377,0.0084,2,1981,GBZZZ,0
EP19810305564,0.0082,0,1981,UKI22,0
EP19810305670,0.0096,2,1981,UKH33,0
EP19810305692,0.0031,0,1981,UKH23,0
EP19810305758,0.002,0,1981,GBZZZ,0
EP19800303690,0.0024,3,1980,GBZZZ,0
EP19810305767,0.0054,0,1981,UKI23,0
EP19800302945,0.0064,1,1980,UKC14,0
EP19810306127,0.0009,1,1981,UKJ23,0
EP19790300371,0.0009,4,1979,UKJ24,0
EP19810110553,0.1118,2,1981,UKJ42,0
EP19800103657,0.0934,1,1980,UKJ42,0
EP19810305460,0.0035,1,1981,UKG24,0
EP19800302516,0.0035,1,1980,UKG24,0
EP19810305598,0.0063,0,1981,UKD32,0
EP19810305757,0.0014,1,1981,GBZZZ,0
EP19790301821,0.0028,1,1979,GBZZZ,0
EP19810303930,0.0602,0,1981,UKH23,0
EP19810301717,0.0014,0,1981,UKJ33,0
EP19790301087,0.001,2,1979,UKJ33,0
EP19810300571,0.0124,1,1981,UKJ33,0
EP19810300570,0.0024,1,1981,UKJ23,0
EP19810301738,0.0006,0,1981,UKJ23,0
EP19780300485,0.0157,6,1978,UKJ23,0
EP19810301324,0.0582,4,1981,UKH23,0
EP19810301606,0.054,4,1981,UKJ23,0
EP19800301838,0.0767,9,1980,UKJ23,0
EP19810301393,0.0045,0,1981,UKJ11,0
EP19800301367,0.0019,2,1980,GBZZZ,0
EP19810301360,0.0277,1,1981,GBZZZ,1
EP19810300538,0.0201,2,1981,UKD61,1
EP19810301261,0.007,1,1981,UKJ11,0
EP19780300095,0.0022,1,1978,UKJ13,0
EP19810300209,0.0006,0,1981,UKF22,0
EP19800303684,0.0009,1,1980,UKJ41,0
EP19810300186,0.0227,0,1981,UKJ24,0
EP19810301427,0.0019,1,1981,UKG31,0
EP19810301639,0.0193,0,1981,UKE12,0
EP19780300397,0.0196,1,1978,UKE11,0
EP19810302145,0.0054,4,1981,UKH23,0
EP19790301674,0.0086,5,1979,UKH23,0
EP19810301683,0.0311,5,1981,UKJ24,0
EP19800710008,0.0297,3,1980,UKH21,0
EP19810302616,0.0005,1,1981,UKH33,0
EP19810302632,0.001,1,1981,UKH33,0
EP19810302417,0.0043,0,1981,UKJ23,0
EP19800303721,0.0043,1,1980,UKJ23,0
EP19810302142,0.0308,0,1981,UKD74,0
EP19810300491,0.0044,1,1981,UKD74,0
EP19790302599,0.0225,3,1979,UKD74,0
EP19810301962,0.0024,0,1981,UKF22,0
EP19790302732,0.0004,3,1979,UKF22,0
EP19810301841,0.0053,0,1981,UKJ11,0
EP19810302217,0.0005,0,1981,GBZZZ,0
EP19790302442,0.0005,1,1979,UKF22,0
EP19810301883,0.0501,1,1981,UKJ23,0
EP19810302141,0.0123,4,1981,UKD74,0
EP19790302600,0.0074,4,1979,UKD74,0
EP19810810168,0.0104,0,1981,UKD31,0
EP19800810231,0.0036,1,1980,UKH12,0
EP19810301249,0.0007,3,1981,UKD31,0
EP19800302640,0.0007,2,1980,UKE12,0
